ageID,head_campus_ageID,school_name,street,town_suburb,postcode,level_of_schooling,school_gender,sector,systemic,school_affiliation,diocese,sys_num,sys_desc,school _specialty_indicator,campus_level,school_url,lga,electorate_code,fed_electorate,SA3,SA4,ASGS_remoteness,latitude,longitude
30173,30173,Our Lady of the Assumption Catholic Primary School,1A Hamilton Street,North Strathfield,2137,Primary,Co-ed,Catholic,Systemic,Catholic (Roman),Sydney,4101,Catholic System NSW,Non special,Primary,https://sites.google.com/a/syd.catholic.edu.au/olanorthstrathfield/,Canada Bay (A),Strathfield,Reid,Canada Bay,Sydney - Inner West,Major Cities of Australia,-33.858,151.0864
30203,30203,St Mary's Flexible Learning Centre,63 Forrester Rd,St Mary's,2760,Secondary,Co-ed,Independent,Non-Systemic,Catholic (Other),,0,,Special,Secondary,http://www.youthplus.edu.au/schools-services-details/youth-schools-network/st-mary-s-flc/stmarys-flexible-learning-centre-home.html,Penrith (C),Londonderry,Lindsay,St Marys,Sydney - Outer West and Blue Mountains,Major Cities of Australia,-33.760372,150.775405
30204,30204,The Anglican School Googong,136 Gorman Drive,Googong,2620,Primary,Co-ed,Independent,Non-Systemic,Anglican,,0,,Non special,Primary,http://www.googongschool.nsw.edu.au/,Queanbeyan (C),Monaro,Eden-Monaro,Queanbeyan,Capital Region,Inner Regional Australia,-35.42238,149.23263
30206,30206,Pacific Hope School,3a Acacia Street,Tweed Heads South,2486,Special,Co-ed,Independent,Non-Systemic,Christian School,,0,,Special,Special,http://www.pacifichope.nsw.edu.au/,Tweed (A),Tweed,Richmond,Tweed Valley,Richmond - Tweed,Major Cities of Australia,-28.197637,153.520713
30207,30207,Eileen O’Connor Catholic College,7 Thomas Street,Lewisham,2049,Special,Co-ed,Catholic,Systemic,Catholic (Roman),Sydney,4101,Catholic System NSW,Special,Special,NULL,Marrickville (A),Newtown,Grayndler,Strathfield - Burwood - Ashfield,Sydney - Inner West,Major Cities of Australia,-33.892776,151.148653
30211,30211,New Hope School,9-15 Quarry Road,Dural,2158,Special,Co-ed,Independent,Non-Systemic,Christian School,,0,,Special,Special,http://www.newhope.nsw.edu.au/nh/,Hornsby (A),Hornsby,Berowra,Dural - Wisemans Ferry,Sydney - Baulkham Hills and Hawkesbury,Major Cities of Australia,-33.69576,151.03891
30215,30215,Eagle Arts and Vocational College,155-157 Duff Street,Broken Hill,2880,Secondary,Co-ed,Independent,Non-Systemic,Other,,0,,Special,Secondary,NULL,Broken Hill (C),Barwon,Parkes,Broken Hill and Far West,Far West and Orana,Outer Regional Australia,-31.985556,141.467656
30217,30217,The Waranara Centre,434 Marrickville Rd,Marrickville,2204,Secondary,Co-ed,Independent,Non-Systemic,Non-Denominational,,0,,Special,Secondary,http://www.goodshep.org.au/find-a-service/educational-pathways/,Marrickville (A),Summer Hill,Grayndler,Marrickville - Sydenham - Petersham,Sydney - City and Inner South,Major Cities of Australia,-33.907792,151.148614
30219,30219,Kingdom Culture Christian School,19 Dowling Street,Arncliffe,2205,Primary,Co-ed,Independent,Non-Systemic,Other,,0,,Non special,Primary,http://www.kccs.nsw.edu.au/,Rockdale (C),Rockdale,Barton,Kogarah - Rockdale,Sydney - Inner South West,Major Cities of Australia,-33.936132,151.138979
30245,30245,Skillset Senior College,390 Panorama Avenue,Mitchell,2795,Secondary,Co-ed,Independent,Non-Systemic,Other,,0,,Special,Secondary,http://www.skillsetseniorcollege.com/,Bathurst Regional (A),Bathurst,Calare,Bathurst,Central West,Inner Regional Australia,-33.43673,149.56417
30262,30262,International Chinese School,1 View Street,Chatswood,2067,Primary,Co-ed,Independent,Non-Systemic,Anglican,,0,,Non special,Primary,http://www.intcs.nsw.edu.au/,Willoughby (C),Willoughby,Bradfield,Chatswood - Lane Cove,Sydney - North Sydney and Hornsby,Major Cities of Australia,-33.795121,151.177478
30301,30301,SEDA College,180 George St,Redfern,2016,Secondary,Co-ed,Independent,Non-Systemic,Non-Denominational,,0,,Non special,Secondary,NULL,Sydney (C),Newtown,Sydney,NULL,NULL,Major Cities of Australia,-33.89496,151.201626
30305,30305,Al-Faisal College - Liverpool,83-87 Gurner Avenue,Austral,2179,Primary,Co-ed,Independent,Non-Systemic,Islamic,,0,,Non special,Primary,http://www.alfaisalcollege.com/,Liverpool (C),Mulgoa,Werriwa,NULL,NULL,Major Cities of Australia,-33.90998,150.810256
30306,30306,Al-Faisal College - Campbelltown,10 Benham Road,Minto,2566,Combined,Co-ed,Independent,Non-Systemic,Islamic,,0,,Non special,Combined,http://www.afc.nsw.edu.au/,Campbelltown (C),Macquarie Fields,Macarthur,NULL,NULL,Major Cities of Australia,-34.02223,150.857622
30309,30309,D.A.L.E. Young Parents School,98 Georgetown Road,Waratah,2298,Secondary,Co-ed,Independent,Non-Systemic,Christian School,,0,,Special,Secondary,NULL,Newcastle (C),Wallsend,Newcastle,NULL,NULL,Major Cities of Australia,-32.906787,151.723149
